k141_3201976	6xylanase	43.137	51	29	0	241	393	41	91	5.97e-09	43.1
k141_3201976	11xylanase	42.222	45	26	0	262	396	355	399	9.72e-09	42.4
k141_3201976	4RecName:	41.176	51	30	0	241	393	41	91	8.13e-08	39.7
k141_3201976	9xylanase	46.667	45	22	1	262	396	8	50	8.08e-06	33.9
k141_4482810	10xylanase	33.735	83	42	3	228	19	912	994	1.18e-06	37.0
k141_2561632	9xylanase	26.087	69	50	1	353	147	264	331	5.94e-08	39.7
k141_960819	11xylanase	44.286	70	35	2	1	201	334	402	6.32e-13	52.0
k141_960819	9xylanase	31.481	54	35	1	37	198	1	52	1.45e-07	36.6
k141_960819	4RecName:	31.250	48	33	0	46	189	44	91	8.64e-06	31.6
k141_3842622	11xylanase	34.459	148	74	5	70	510	405	530	3.76e-23	86.3
k141_3842622	9xylanase	30.667	150	76	6	85	507	50	180	7.95e-21	78.6
k141_3842622	4RecName:	32.203	177	89	7	100	585	100	260	2.76e-20	77.4
k141_3842622	1xylanase	30.508	177	92	8	100	585	104	264	5.02e-18	71.2
k141_3842622	3xylanase	30.337	178	91	9	100	585	104	264	8.06e-18	70.5
k141_3842622	6xylanase	29.379	177	94	8	100	585	100	260	5.14e-17	68.2
k141_3842622	5xylanase	29.240	171	97	6	10	507	43	194	7.78e-15	62.0
k141_3842622	10xylanase	23.370	184	106	7	1	504	590	754	9.11e-06	35.0
k141_3522370	9xylanase	40.476	336	176	6	34814	35797	7	326	4.57e-76	249
k141_3522370	11xylanase	41.176	357	188	7	34778	35830	344	684	6.65e-76	261
k141_3522370	4RecName:	39.498	319	168	4	34817	35737	48	353	2.45e-66	224
k141_3522370	3xylanase	36.723	354	187	8	34817	35809	53	392	1.95e-65	221
k141_3522370	6xylanase	37.618	319	174	4	34817	35737	48	353	4.43e-65	220
k141_3522370	1xylanase	36.757	370	182	8	34814	35809	52	407	3.14e-64	218
k141_3522370	5xylanase	29.882	338	199	9	34820	35809	27	334	8.93e-37	137
k141_3522370	10xylanase	26.207	290	180	10	34871	35710	595	860	6.41e-14	69.7
k141_343	9xylanase	49.000	100	51	0	5	304	145	244	3.84e-35	114
